date,temp_mean,temp_min,temp_max,feels_like_mean,feels_like_min,feels_like_max,humidity_mean,wind_speed_mean,wind_speed_max,rain_sum,snow_sum,weather_main,weather_description,weather_icon
2021-06-15,83.43416666666666,75.88,91.02,87.21958333333333,77.38,99.79,67.66666666666667,2.7216666666666662,NaN,1.15,0,Clouds,overcast clouds,04n
2021-06-16,83.26125,74.98,91.04,87.68166666666669,75.94,99.82,67,3.3904166666666664,NaN,0.25,0,Clouds,scattered clouds,04d
2021-06-17,81.79583333333332,73,88.11,83.93166666666669,73.11,92.77,59.958333333333336,3.360416666666667,NaN,0,0,Clouds,sky is clear,01d
2021-06-18,78.20833333333333,74.32,85.06,79.41958333333334,75.81,87.87,77.41666666666667,3.2441666666666666,NaN,35.870000000000005,0,Clouds,overcast clouds,10d
2021-06-19,79.42916666666666,72.99,87.13,81.64708333333334,74.26,92.82,74.33333333333333,3.950416666666666,NaN,25.430000000000003,0,Rain,light rain,10d
2021-06-20,81.13708333333331,78.01,86.05,84.96333333333334,78.96,93.11,80.95833333333333,3.066666666666667,NaN,14.120000000000003,0,Rain,light rain,10d
2021-06-21,78.46624999999997,75.04,86.04,81.35083333333331,75.92,93.47,81.5,3.3904166666666655,NaN,40.7,0,Rain,overcast clouds,10d
2021-06-22,80.56083333333335,75.97,86.92,83.91208333333334,77.74,95.9,85.41666666666667,2.88875,NaN,42.11000000000001,0,Rain,light rain,10d
2021-06-23,82.21874999999999,77.94,87.98,88.51375,78.89,100.58,83.95833333333333,3.062083333333334,NaN,24.740000000000002,0,Rain,sky is clear,10d
2021-06-24,82.71041666666666,77.97,88.11,88.14125,78.94,96.33,79.125,2.9187500000000006,NaN,3.7,0,Clouds,light rain,10d
2021-06-25,81.59666666666665,77.88,86.13,85.94083333333332,78.94,93.83,81.125,3.310000000000001,NaN,9.36,0,Rain,light rain,10d
2021-06-26,81.97958333333332,75.97,88.92,85.02583333333334,77.68,95.22,74.70833333333333,3.565,NaN,8.18,0,Clouds,broken clouds,04n
2021-06-27,81.105,76.96,88.99,84.40916666666666,78.31,101.59,73.75,2.9787500000000002,NaN,5.03,0,Clouds,light rain,10d
2021-06-28,75.69166666666668,71.98,82.8,78.31625,73.29,95.4,93.95833333333333,3.9908333333333332,NaN,40.989999999999995,0,Rain,light rain,10d
2021-06-29,77.30208333333334,71.98,84.97,81.43083333333334,73.29,97.18,90.20833333333333,4.089166666666666,NaN,7.35,0,Rain,light rain,10d
2021-06-30,79.17875000000001,73.98,89.98,83.36749999999999,75.49,102.58,87,4.238333333333334,NaN,6.41,0,Clouds,overcast clouds,04d
2021-07-01,80.1075,71.98,91.98,84.98916666666663,73.24,104.58,83.125,2.8458333333333337,NaN,2.64,0,Clouds,broken clouds,04n
2021-07-02,82.98708333333333,73.98,93.97,89.51749999999997,75.54,106.57,78.91666666666667,3.11375,NaN,18.89,0,Clouds,overcast clouds,04n
2021-07-03,80.34583333333333,74.98,88.99,85.3895833333333,76.46,100.58,86.33333333333333,3.9308333333333327,NaN,60.15,0,Rain,light rain,10d
2021-07-04,78.71041666666667,74.98,87.98,83.06083333333332,76.55,100.58,88.54166666666667,3.084166666666667,NaN,11.860000000000001,0,Rain,light rain,10d
2021-07-05,78.93041666666667,71.98,89.98,84.64958333333331,73.2,102.58,87.45833333333333,1.95375,NaN,39.32,0,Rain,light rain,10d
2021-07-06,78.85666666666667,72.99,86.99,82.5125,74.41,99.59,88.29166666666667,2.7570833333333336,NaN,17.18,0,Rain,light rain,10d
2021-07-07,77.99208333333335,72.99,82.96,81.04125,74.44,89.89,85.79166666666667,3.1337499999999996,NaN,10.43,0,Rain,light rain,10d
2021-07-08,79.05375000000001,72.99,87.51,83.08958333333335,74.44,98.91,88.33333333333333,3.9187499999999997,NaN,9.84,0,Clouds,overcast clouds,04n
2021-07-09,75.92125,68.99,82.35,79.61625000000001,70.11,94.51,95,3.956250000000001,NaN,31.92,0,Rain,light rain,10d
2021-07-10,80.26708333333335,73.98,90.99,86.05791666666666,75.49,103.59,86.375,3.167916666666667,NaN,5.999999999999999,0,Rain,light rain,10d
2021-07-11,81.1425,74.98,89.98,86.97874999999998,76.6,102.58,85.33333333333333,3.9145833333333333,NaN,2.87,0,Clouds,light rain,10d
2021-07-12,80.80083333333334,76.98,88.99,85.13666666666667,78.85,101.59,84.75,3.8166666666666664,NaN,4.5,0,Clouds,overcast clouds,04d
2021-07-13,79.27625,71.98,91.98,84.06916666666665,73.15,104.58,82.04166666666667,3.9562499999999994,NaN,4.739999999999999,0,Rain,light rain,10d
2021-07-14,78.72833333333334,70.99,88.99,84.05333333333333,72.21,101.59,84.625,3.256666666666666,NaN,3.23,0,Clouds,few clouds,02n
2021-07-15,80.29,73.98,88.99,85.71875,75.54,101.59,86.45833333333333,3.687083333333334,NaN,7.57,0,Clouds,overcast clouds,10d
2021-07-16,81.55291666666668,75.97,87.98,87.56124999999999,77.74,100.58,85.625,3.0795833333333342,NaN,15.55,0,Rain,light rain,10d
2021-07-17,82.30875000000002,73.98,93.97,88.37916666666666,75.54,106.57,80.41666666666667,2.3075000000000006,NaN,43.150000000000006,0,Rain,light rain,10d
2021-07-18,82.74125000000002,73.98,94.98,89.33999999999997,75.54,107.58,80.375,3.245833333333333,NaN,11.48,0,Clouds,light rain,10d
2021-07-19,82.11541666666666,74.98,93.97,88.12833333333332,76.6,106.57,83.66666666666667,2.8754166666666663,NaN,11.549999999999999,0,Clouds,overcast clouds,10d
2021-07-20,81.13041666666668,75.97,89.98,85.4525,77.74,99.63,81.41666666666667,3.7920833333333337,NaN,11.449999999999996,0,Rain,light rain,10d
2021-07-21,81.97291666666668,73.98,87.98,87.51833333333332,75.54,99.61,78.04166666666667,3.453333333333332,NaN,8.420000000000002,0,Rain,light rain,10d
2021-07-22,81.44125000000001,73.98,90.99,87.39249999999998,75.49,103.59,82.45833333333333,3.892916666666667,NaN,1.56,0,Clouds,sky is clear,01n
2021-07-23,83.82333333333334,75.97,93.97,90.18166666666666,77.74,106.57,80.33333333333333,3.30625,NaN,0,0,Clouds,overcast clouds,04n
2021-07-24,84.23416666666668,74.98,94.98,90.92541666666665,76.64,107.58,79.29166666666667,3.272500000000001,NaN,1.3599999999999999,0,Clouds,overcast clouds,04n
2021-07-25,82.79166666666667,71.98,93.97,88.93874999999998,73.29,105.17,78.58333333333333,2.2112499999999997,NaN,14.169999999999998,0,Clouds,light rain,04n
2021-07-26,84.30083333333334,72.99,94.98,91.43166666666666,74.44,107.58,76.75,2.517916666666667,NaN,3.2800000000000002,0,Clouds,scattered clouds,10d
2021-07-27,84.88250000000001,75.97,95.99,91.93624999999997,77.74,108.59,75.54166666666667,2.560833333333333,NaN,0.11,0,Clear,sky is clear,01n
2021-07-28,84.49541666666667,73.98,95.99,91.50708333333331,75.4,108.59,72.41666666666667,2.5766666666666667,NaN,0.58,0,Clear,sky is clear,01n
2021-07-29,85.47958333333337,78.98,96.98,93.16624999999999,78.98,109.58,74.33333333333333,2.456666666666667,NaN,3.79,0,Clouds,overcast clouds,04n
2021-07-30,84.17166666666668,74.98,94.98,91.40791666666665,76.64,107.58,80.04166666666667,3.2300000000000004,NaN,1.52,0,Clouds,overcast clouds,04n
2021-07-31,81.61625000000001,74.98,91.98,87.03208333333332,76.6,104.58,82.54166666666667,3.1462500000000007,NaN,5.94,0,Clouds,light rain,10d
2021-08-01,84.60833333333335,76.98,95.99,91.90416666666664,78.85,108.59,78.91666666666667,4.117083333333333,NaN,0.31,0,Clouds,scattered clouds,04d
2021-08-02,81.62750000000001,75.97,87.98,87.56583333333334,77.74,100.17,82.16666666666667,4.0825000000000005,NaN,5.56,0,Clouds,overcast clouds,04n
2021-08-03,81.11375,76.98,88.99,86.2075,78.75,101.59,82.58333333333333,2.7075,NaN,23.650000000000002,0,Rain,moderate rain,10d
2021-08-04,82.22625000000001,75.97,89.98,88.30624999999998,77.54,102.58,81.29166666666667,3.5325,NaN,4.42,0,Clouds,overcast clouds,04d
